"","id","lastpage","seffsab_1","seffsab_2","seffsab_20","seffsab_14","seffsab_6","seffsab_28","seffsab_48","seffsab_39","seffsab_46","seffsab_47","seffsab_4","seffsab_29","seffsab_44","seffsab_27","seffsab_43","seffsab_9"
"163","UR12ADO",30,4,3,4,NA,4,4,4,3,4,4,4,4,4,4,3,4
"164","UR29HEB",30,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4
"165","UR29KAH",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","UR30GÜH",30,4,3,4,3,4,3,2,4,3,3,4,3,4,3,4,4
"167","UT05GED",30,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,4
"168","UT17HAH",12,3,3,3,3,4,4,3,4,3,4,3,3,4,3,4,4
"169","UT26GEW",21,4,4,4,3,4,3,3,4,3,4,4,3,4,4,3,4
"170","UT27JÜA",30,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,4
"171","UT30GÜE",30,4,4,4,2,4,3,3,3,4,4,4,3,3,4,2,4
"172","VE25GEE",30,4,3,4,4,3,4,4,4,4,3,3,4,4,4,4,4
"173","VE27HUH",30,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3,4
"174","WK15AKG",30,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"175","XX03XXB",30,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
"176","XX13XXW",30,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4
